GEO ID,Province Code,City,Total,Motorized,Public,Active
24661507,24,Montréal,210.0,90.0,60.0,65.0
24661508,24,Montréal,160.0,40.0,75.0,50.0
24661509,24,Montréal,225.0,70.0,95.0,60.0
24661510,24,Montréal,195.0,80.0,65.0,40.0
24661513,24,Montréal,180.0,70.0,60.0,50.0
24661514,24,Montréal,145.0,40.0,35.0,65.0
24661515,24,Montréal,140.0,65.0,40.0,35.0
24661516,24,Montréal,210.0,85.0,55.0,60.0
24661517,24,Montréal,130.0,35.0,55.0,35.0
24661518,24,Montréal,215.0,90.0,65.0,60.0
24661519,24,Montréal,250.0,100.0,85.0,60.0
24661520,24,Montréal,255.0,100.0,50.0,100.0
24661521,24,Montréal,720.0,345.0,235.0,130.0
24661522,24,Montréal,235.0,85.0,85.0,55.0
24661523,24,Montréal,180.0,60.0,75.0,50.0
24661524,24,Montréal,110.0,30.0,45.0,30.0
24661525,24,Montréal,140.0,60.0,60.0,15.0
24661526,24,Montréal,170.0,50.0,85.0,20.0
24661527,24,Montréal,130.0,30.0,80.0,20.0
24661528,24,Montréal,175.0,55.0,105.0,10.0
24661529,24,Montréal,165.0,60.0,75.0,30.0
24661530,24,Montréal,185.0,110.0,65.0,10.0
24661531,24,Montréal,195.0,50.0,115.0,25.0
24661532,24,Montréal,205.0,130.0,55.0,25.0
24661533,24,Montréal,345.0,160.0,125.0,55.0
24661534,24,Montréal,105.0,65.0,30.0,0.0
24661535,24,Montréal,185.0,80.0,60.0,40.0
24661536,24,Montréal,165.0,90.0,70.0,0.0
24661537,24,Montréal,195.0,65.0,115.0,10.0
24661538,24,Montréal,160.0,70.0,80.0,15.0
24661539,24,Montréal,190.0,40.0,130.0,20.0
24661540,24,Montréal,265.0,90.0,130.0,55.0
24661541,24,Montréal,130.0,75.0,40.0,0.0
24661542,24,Montréal,95.0,40.0,45.0,10.0
24661543,24,Montréal,125.0,95.0,30.0,0.0
24661544,24,Montréal,140.0,45.0,65.0,25.0
24661545,24,Montréal,125.0,55.0,50.0,20.0
24661546,24,Montréal,180.0,75.0,70.0,30.0
24661547,24,Montréal,255.0,135.0,80.0,30.0
24661548,24,Montréal,210.0,100.0,75.0,25.0
24661549,24,Montréal,220.0,120.0,80.0,15.0
24661550,24,Montréal,140.0,40.0,40.0,35.0
24661551,24,Montréal,175.0,90.0,60.0,25.0
24661554,24,Montréal,155.0,80.0,50.0,20.0
24661555,24,Montréal,265.0,75.0,150.0,40.0
24661556,24,Montréal,280.0,180.0,75.0,30.0
24661557,24,Montréal,280.0,115.0,115.0,45.0
24661558,24,Montréal,100.0,20.0,70.0,15.0
24661559,24,Montréal,165.0,80.0,70.0,15.0
24661560,24,Montréal,205.0,100.0,85.0,20.0
24661561,24,Montréal,105.0,50.0,55.0,0.0
24661562,24,Montréal,145.0,90.0,40.0,10.0
24661563,24,Montréal,320.0,130.0,115.0,45.0
24661564,24,Montréal,350.0,135.0,170.0,35.0
24661566,24,Montréal,305.0,140.0,135.0,35.0
24661567,24,Montréal,95.0,75.0,10.0,10.0
24661568,24,Montréal,130.0,115.0,10.0,0.0
24661569,24,Montréal,90.0,80.0,0.0,0.0
24661570,24,Montréal,135.0,125.0,0.0,0.0
24661571,24,Montréal,120.0,95.0,0.0,0.0
24661572,24,Montréal,175.0,115.0,40.0,25.0
24661573,24,Montréal,410.0,310.0,55.0,35.0
24661574,24,Montréal,175.0,125.0,10.0,40.0
24661575,24,Montréal,185.0,105.0,60.0,20.0
24661576,24,Montréal,120.0,65.0,25.0,20.0
24661577,24,Montréal,175.0,95.0,45.0,25.0
24661578,24,Montréal,120.0,80.0,25.0,10.0
24661579,24,Montréal,175.0,105.0,40.0,15.0
24661580,24,Montréal,140.0,85.0,40.0,0.0
24661581,24,Montréal,140.0,90.0,30.0,10.0
24661582,24,Montréal,140.0,100.0,20.0,0.0
24661583,24,Montréal,125.0,85.0,20.0,15.0
24661584,24,Montréal,125.0,100.0,10.0,10.0
24661585,24,Montréal,160.0,125.0,0.0,20.0
24661586,24,Montréal,100.0,70.0,15.0,15.0
24661587,24,Montréal,135.0,105.0,25.0,10.0
24661589,24,Montréal,85.0,65.0,10.0,10.0
24661590,24,Montréal,155.0,145.0,0.0,0.0
24661591,24,Montréal,120.0,95.0,0.0,0.0
24661592,24,Montréal,215.0,175.0,20.0,0.0
24661593,24,Montréal,150.0,105.0,45.0,0.0
24661594,24,Montréal,210.0,145.0,55.0,0.0
24661595,24,Montréal,85.0,80.0,0.0,0.0
24661597,24,Montréal,190.0,160.0,15.0,0.0
24661598,24,Montréal,80.0,70.0,0.0,0.0
24661599,24,Montréal,125.0,95.0,15.0,0.0
24661600,24,Montréal,105.0,75.0,0.0,15.0
24661601,24,Montréal,280.0,170.0,80.0,25.0
24661602,24,Montréal,180.0,120.0,40.0,10.0
24661603,24,Montréal,145.0,105.0,40.0,0.0
24661606,24,Montréal,160.0,110.0,35.0,0.0
24661609,24,Montréal,265.0,180.0,65.0,10.0
24661611,24,Montréal,190.0,135.0,45.0,10.0
24661614,24,Montréal,280.0,120.0,145.0,15.0
24661615,24,Montréal,280.0,135.0,125.0,15.0
24661616,24,Montréal,240.0,120.0,100.0,20.0
24661617,24,Montréal,75.0,35.0,30.0,0.0
24661618,24,Montréal,340.0,145.0,135.0,40.0
24661619,24,Montréal,275.0,195.0,40.0,45.0
24661620,24,Montréal,280.0,185.0,60.0,30.0
